	token	upos	ner
107	widowhood	NOUN	O
108	widowhood	NOUN	O
109	abundance	NOUN	O
110	occasion	NOUN	O
111	covenant	NOUN	O
112	covenant	NOUN	O
113	covenant	NOUN	O
114	covenant	NOUN	O
115	covenant	NOUN	O
116	rejoices	VERB	O
117	pot	NOUN	O
118	fowl	NOUN	O
119	soundness	NOUN	O
120	extract	NOUN	O
121	congregation	NOUN	O
122	scourges	VERB	O
123	Sodom	PROPN	S-GPE
124	watchmen	NOUN	O
125	Dagon	PROPN	S-PERSON
126	Dagon	PROPN	S-PERSON
127	Dagon	PROPN	E-GPE
128	naughtiness	NOUN	O
129	scoffing	NOUN	O
130	reel	NOUN	O
131	genealogy	NOUN	O
132	genealogy	NOUN	O
133	Enoch	PROPN	S-PERSON
134	Enoch	PROPN	S-PERSON
135	Enoch	PROPN	S-PERSON
136	Abner	PROPN	S-PERSON
137	Maim	PROPN	E-GPE
138	Tabor	PROPN	E-GPE
139	Tabor	PROPN	E-GPE
140	Tabor	PROPN	S-PERSON
141	Tabor	PROPN	S-PERSON
142	hinds	NOUN	O
143	bone	NOUN	O
144	bone	NOUN	O
145	bone	NOUN	O
146	bone	NOUN	O
147	bone	NOUN	O
148	locations	NOUN	O
149	locations	NOUN	O
150	locations	NOUN	O
151	locations	NOUN	O
152	controls	NOUN	O
153	controls	NOUN	O
154	controls	NOUN	O
155	controls	VERB	O
156	position	NOUN	O
157	position	NOUN	O
158	position	NOUN	O
159	speed	NOUN	O
160	State	PROPN	I-ORG
161	proteins	NOUN	O
162	proteins	NOUN	O
163	proteins	NOUN	O
164	proteins	NOUN	O
165	proteins	NOUN	O
166	half	NOUN	S-CARDINAL
167	half	NOUN	S-CARDINAL
168	half	NOUN	O
169	half	NOUN	E-DATE
170	existence	NOUN	O
171	Lung	NOUN	O
172	signals	NOUN	O
173	signals	NOUN	O
174	signals	NOUN	O
175	signals	NOUN	O
176	signals	NOUN	O
177	breast	NOUN	O
178	pathway	NOUN	O
179	pathway	NOUN	O
180	pathway	NOUN	O
181	observation	NOUN	O
182	observation	NOUN	O
183	observation	NOUN	O
184	observation	NOUN	O
185	observation	NOUN	O
186	consequences	NOUN	O
187	scheme	NOUN	O
188	mass	NOUN	O
189	mass	NOUN	O
190	mass	NOUN	O
191	mass	NOUN	O
192	smoking	NOUN	O
193	smoking	NOUN	O
194	result	NOUN	O
195	result	NOUN	O
196	couple	NOUN	O
197	possibility	NOUN	O
198	possibility	NOUN	O
199	possibility	NOUN	O
200	columns	NOUN	O
201	completion	NOUN	O
202	detection	NOUN	O
203	carbohydrate	NOUN	O
204	class	NOUN	O
205	class	NOUN	O
206	utilization	NOUN	O
207	utilization	NOUN	O
208	transporters	NOUN	O
209	transporters	NOUN	O
210	Pennsylvania	PROPN	S-GPE
211	repeat	NOUN	O
212	embryo	NOUN	O
213	channels	NOUN	O
214	nutrients	NOUN	O
215	hyperactivity	NOUN	O
216	hyperactivity	NOUN	O
217	hyperactivity	NOUN	O
218	hyperactivity	NOUN	O
219	hyperactivity	NOUN	O
220	distinction	NOUN	O
221	smears	NOUN	O
222	Cholesterol	NOUN	O
223	reporters	NOUN	O
224	switching	NOUN	O
225	switching	NOUN	O
226	oxidation	NOUN	O
227	oxidation	NOUN	O
228	Mechanisms	NOUN	O
229	pigment	NOUN	O
230	pigment	NOUN	O
231	beads	NOUN	O
232	pancreas	NOUN	O
233	Counter	PROPN	I-PRODUCT
234	microscopy	NOUN	O
235	microscopy	NOUN	O
236	microscopy	NOUN	O
237	microscopy	NOUN	O
238	microscopy	NOUN	O
239	visualization	NOUN	O
240	suppressor	NOUN	O
241	suppressor	NOUN	O
242	condensation	NOUN	O
243	condensation	NOUN	O
244	conformation	NOUN	O
245	conformation	NOUN	O
246	antigen	NOUN	O
247	antigen	NOUN	O
248	antigen	NOUN	O
249	antigen	NOUN	O
250	gigantism	NOUN	O
251	duct	NOUN	O
252	Rod	NOUN	O
253	Rod	NOUN	O
254	analogue	NOUN	O
255	infarction	NOUN	O
256	peptide	NOUN	O
257	peptide	NOUN	O
258	peptide	NOUN	O
259	peptide	NOUN	O
260	peptide	NOUN	O
261	effectors	NOUN	O
262	constriction	NOUN	O
263	AK	PROPN	B-ORG
264	AK	PROPN	S-ORG
265	derangement	NOUN	O
266	singleton	NOUN	O
267	SEM	PROPN	S-ORG
268	ZIP	NOUN	S-ORG
269	epithelium	NOUN	O
270	epithelium	NOUN	O
271	epithelium	NOUN	O
272	epithelium	NOUN	O
273	epithelium	NOUN	O
274	thalamus	NOUN	O
275	thalamus	NOUN	O
276	sequelae	NOUN	O
277	Osteogenesis	PROPN	S-ORG
278	sea	NOUN	O
279	Rules	NOUN	I-LAW
280	Rules	NOUN	I-LAW
281	prices	NOUN	O
282	prices	NOUN	O
283	prices	NOUN	O
284	table	NOUN	O
285	table	VERB	O
286	table	VERB	O
287	controls	NOUN	O
288	excuses	NOUN	O
289	position	NOUN	O
290	position	NOUN	O
291	journalist	NOUN	O
292	speed	NOUN	O
293	half	ADJ	I-TIME
294	future	NOUN	O
295	future	NOUN	O
296	future	NOUN	O
297	future	NOUN	O
298	Crisis	NOUN	O
299	Trade	NOUN	O
300	Trade	PROPN	I-ORG
301	aircraft	NOUN	O
302	existence	NOUN	O
303	Court	PROPN	E-ORG
304	Court	PROPN	I-ORG
305	partnership	NOUN	O
306	partnership	NOUN	O
307	partnership	NOUN	O
308	partnership	NOUN	O
309	aid	NOUN	O
310	aid	NOUN	O
311	silence	NOUN	O
312	Compatibility	NOUN	O
313	hatred	NOUN	O
314	pollution	NOUN	O
315	Request	NOUN	O
316	United	PROPN	I-LAW
317	United	PROPN	I-GPE
318	Justice	PROPN	E-LAW
319	Justice	PROPN	B-ORG
320	consequences	NOUN	O
321	consequences	NOUN	O
322	scheme	NOUN	O
323	policies	NOUN	O
324	policies	NOUN	O
325	South	PROPN	I-LOC
326	result	NOUN	O
327	result	NOUN	O
328	wording	NOUN	O
329	wording	NOUN	O
330	wording	NOUN	O
331	organisations	NOUN	O
332	organisations	NOUN	O
333	organisations	NOUN	O
334	organisations	NOUN	O
335	organisations	NOUN	O
336	authorities	NOUN	O
337	authorities	NOUN	O
338	authorities	NOUN	O
339	authorities	NOUN	O
340	authorities	NOUN	O
341	goods	NOUN	O
342	goods	NOUN	O
343	society	NOUN	O
344	society	NOUN	O
345	street	NOUN	O
346	Control	PROPN	E-ORG
347	restrictions	NOUN	O
348	personality	NOUN	O
349	nationalism	NOUN	O
350	nationalism	NOUN	O
351	John	PROPN	S-PERSON
352	Safety	PROPN	E-ORG
353	Safety	PROPN	I-ORG
354	judgments	NOUN	O
355	prospects	NOUN	O
356	Persons	PROPN	I-LAW
357	minority	ADJ	O
358	Cold	PROPN	I-EVENT
359	Opening	NOUN	O
360	clarification	NOUN	O
361	occasion	NOUN	O
362	occasion	NOUN	O
363	wreck	NOUN	O
364	developments	NOUN	O
365	stickers	NOUN	O
366	programme	NOUN	O
367	programme	NOUN	O
368	programme	NOUN	O
369	piracy	NOUN	O
370	piracy	NOUN	O
371	norm	NOUN	O
372	escapade	NOUN	O
373	cyclone	NOUN	O
374	maize	NOUN	O
375	maize	NOUN	O
376	beneficiary	NOUN	O
377	subsidies	NOUN	O
378	subsidies	NOUN	O
379	subsidies	NOUN	O
380	Statute	PROPN	E-LAW
381	Statute	NOUN	S-LAW
382	Tanzania	PROPN	S-GPE
383	Tanzania	PROPN	S-GPE
384	violation	NOUN	O
385	capital	ADJ	O
386	Martin	PROPN	S-PERSON
387	Estonia	PROPN	S-GPE
388	Estonia	PROPN	S-GPE
389	Estonia	PROPN	S-GPE
390	Estonia	PROPN	E-GPE
391	Estonia	PROPN	S-GPE
392	droughts	NOUN	O
393	droughts	NOUN	O
394	Maria	PROPN	I-PERSON
395	sympathy	NOUN	O
396	Kant	PROPN	E-PERSON
397	exile	NOUN	O
398	authorisation	NOUN	O
399	authorisation	NOUN	O
400	authorisation	NOUN	O
401	Medina	PROPN	B-PERSON
402	Medina	PROPN	B-PERSON
403	expeditions	NOUN	O
404	asylum	NOUN	O
405	asylum	NOUN	O
406	Doris	PROPN	B-PERSON
407	Arias	PROPN	I-PERSON
408	Arias	PROPN	S-PERSON
409	falsification	NOUN	O
410	reimbursement	NOUN	O
411	GM	NOUN	S-ORG
412	impunity	NOUN	O
413	impunity	NOUN	O
414	preoccupation	NOUN	O
415	EC	PROPN	I-LAW
416	EC	PROPN	I-LAW
417	EC	NOUN	I-LAW
418	EC	NOUN	I-LAW
419	peat	NOUN	O
420	Aer	PROPN	B-ORG
