	token	upos	ner
107	fruit	NOUN	O
108	nights	NOUN	E-DATE
109	finger	NOUN	O
110	eyes	NOUN	O
111	eyes	NOUN	O
112	eyes	NOUN	O
113	eyes	NOUN	O
114	eyes	NOUN	O
115	Israel	PROPN	S-GPE
116	Israel	PROPN	S-GPE
117	Israel	PROPN	S-GPE
118	Israel	PROPN	S-GPE
119	Israel	PROPN	S-GPE
120	prayer	NOUN	O
121	prayer	NOUN	O
122	prayer	NOUN	O
123	power	NOUN	O
124	power	NOUN	O
125	Benjamin	PROPN	S-PERSON
126	Benjamin	PROPN	S-PERSON
127	Benjamin	PROPN	S-PERSON
128	Benjamin	PROPN	S-PERSON
129	Benjamin	PROPN	S-PERSON
130	blessing	NOUN	O
131	blessing	NOUN	O
132	throne	NOUN	O
133	throne	NOUN	O
134	throne	NOUN	O
135	throne	NOUN	O
136	throne	NOUN	O
137	faith	NOUN	O
138	faith	NOUN	O
139	faith	NOUN	O
140	faith	NOUN	O
141	faith	NOUN	O
142	rest	NOUN	O
143	rest	NOUN	O
144	rest	NOUN	O
145	crown	NOUN	O
146	crown	NOUN	O
147	truth	NOUN	O
148	truth	NOUN	O
149	truth	NOUN	O
150	truth	NOUN	O
151	play	VERB	O
152	world	NOUN	O
153	side	NOUN	O
154	side	NOUN	O
155	drink	NOUN	O
156	faces	NOUN	O
157	order	NOUN	O
158	honor	NOUN	O
159	honor	NOUN	O
160	honor	NOUN	O
161	refuge	NOUN	O
162	refuge	NOUN	O
163	refuge	NOUN	O
164	refuge	NOUN	O
165	north	NOUN	O
166	north	NOUN	O
167	parts	NOUN	O
168	parts	NOUN	O
169	parts	NOUN	O
170	basket	NOUN	O
171	basket	NOUN	O
172	bread	NOUN	O
173	bread	NOUN	O
174	bread	NOUN	O
175	bread	NOUN	O
176	bread	NOUN	O
177	brother	NOUN	O
178	brother	NOUN	O
179	brother	NOUN	O
180	brother	NOUN	O
181	feast	NOUN	O
182	feast	NOUN	O
183	feast	NOUN	O
184	feast	NOUN	O
185	feast	NOUN	O
186	children	NOUN	O
187	children	NOUN	O
188	children	NOUN	O
189	children	NOUN	O
190	children	NOUN	O
191	curse	NOUN	O
192	curse	NOUN	O
193	curse	NOUN	O
194	curse	VERB	O
195	Kingdom	PROPN	S-GPE
196	Kingdom	PROPN	S-GPE
197	Kingdom	PROPN	S-GPE
198	Kingdom	PROPN	I-GPE
199	Kingdom	NOUN	S-GPE
200	tradition	NOUN	O
201	sin	NOUN	O
202	sin	VERB	O
203	sin	NOUN	O
204	sin	NOUN	O
205	sin	NOUN	O
206	years	NOUN	E-DATE
207	years	NOUN	E-DATE
208	house	NOUN	O
209	house	NOUN	O
210	house	NOUN	O
211	house	NOUN	O
212	house	NOUN	O
213	sixteenth	NOUN	S-ORDINAL
214	reply	NOUN	O
215	everything	PRON	O
216	servants	NOUN	O
217	servants	NOUN	O
218	servants	NOUN	O
219	servants	NOUN	O
220	servants	NOUN	O
221	life	NOUN	O
222	life	NOUN	O
223	life	NOUN	O
224	parents	NOUN	O
225	gods	NOUN	O
226	gods	NOUN	O
227	gods	NOUN	O
228	gods	NOUN	O
229	gods	NOUN	O
230	donkey	NOUN	O
231	donkey	NOUN	O
232	wheat	NOUN	O
233	wheat	NOUN	O
234	Son	NOUN	S-PERSON
235	prostitute	NOUN	O
236	prostitute	NOUN	O
237	prostitute	NOUN	O
238	prostitute	NOUN	O
239	understanding	NOUN	O
240	understanding	NOUN	O
241	David	PROPN	S-PERSON
242	David	PROPN	S-PERSON
243	David	PROPN	S-PERSON
244	David	PROPN	S-PERSON
245	David	PROPN	S-PERSON
246	pairs	NOUN	O
247	priest	NOUN	O
248	priest	NOUN	O
249	priest	NOUN	O
250	priest	NOUN	O
251	priest	NOUN	O
252	reward	NOUN	O
253	reward	NOUN	O
254	reward	NOUN	O
255	things	NOUN	O
256	things	NOUN	O
257	things	NOUN	O
258	things	NOUN	O
259	things	NOUN	O
260	sound	NOUN	O
261	sound	VERB	O
262	sound	NOUN	O
263	gifts	NOUN	O
264	gifts	NOUN	O
265	gifts	NOUN	O
266	cloud	NOUN	O
267	cloud	NOUN	O
268	cloud	NOUN	O
269	cloud	NOUN	O
270	woman	NOUN	O
271	woman	NOUN	O
272	woman	NOUN	O
273	woman	NOUN	O
274	woman	NOUN	O
275	music	NOUN	O
276	heaven	NOUN	O
277	heaven	PROPN	O
278	heaven	NOUN	O
279	heaven	NOUN	O
280	flock	NOUN	O
281	flock	NOUN	O
282	flock	NOUN	O
283	flock	NOUN	O
284	flock	NOUN	O
285	promise	NOUN	O
286	promise	NOUN	O
287	dogs	NOUN	O
288	lambs	NOUN	O
289	image	NOUN	O
290	tax	NOUN	O
291	tax	NOUN	O
292	acts	NOUN	O
293	acts	NOUN	O
294	mouth	NOUN	O
295	mouth	NOUN	O
296	mouth	NOUN	O
297	mouth	NOUN	O
298	mouth	NOUN	O
299	safety	NOUN	O
300	window	NOUN	O
301	window	NOUN	O
302	speaking	VERB	O
303	thirst	NOUN	O
304	thirst	NOUN	O
305	governor	PROPN	O
306	governor	NOUN	O
307	governor	PROPN	O
308	creation	NOUN	O
309	light	NOUN	O
310	angel	NOUN	O
311	angel	NOUN	O
312	angel	NOUN	O
313	angel	NOUN	O
314	angel	NOUN	O
315	chiefs	NOUN	O
316	beauty	NOUN	O
317	beauty	NOUN	O
318	bars	NOUN	O
319	sheep	NOUN	O
320	sheep	NOUN	O
321	sheep	NOUN	O
322	sheep	NOUN	O
323	sheep	NOUN	O
324	master	NOUN	O
325	master	NOUN	O
326	war	NOUN	O
327	war	NOUN	O
328	war	NOUN	O
329	backs	NOUN	O
330	backs	NOUN	O
331	backs	NOUN	O
332	king	NOUN	O
333	king	NOUN	O
334	king	NOUN	O
335	king	NOUN	O
336	king	NOUN	O
337	city	NOUN	O
338	city	NOUN	O
339	city	NOUN	O
340	city	NOUN	O
341	city	NOUN	O
342	razor	NOUN	O
343	razor	NOUN	O
344	razor	NOUN	O
345	earth	NOUN	O
346	earth	NOUN	O
347	earth	NOUN	O
348	earth	NOUN	O
349	gate	NOUN	O
350	gate	NOUN	O
351	gate	NOUN	O
352	answer	NOUN	O
353	ox	NOUN	O
354	increase	NOUN	O
355	son	NOUN	O
356	son	NOUN	O
357	son	NOUN	O
358	son	NOUN	O
359	son	NOUN	O
360	laws	NOUN	O
361	branches	NOUN	O
362	branches	NOUN	O
363	branches	NOUN	O
364	branches	NOUN	O
365	waste	NOUN	O
366	chief	NOUN	O
367	chief	ADJ	O
368	Eve	PROPN	S-PERSON
369	number	NOUN	O
370	number	NOUN	O
371	storm	NOUN	O
372	peace	NOUN	O
373	peace	NOUN	O
374	enemies	NOUN	O
375	enemies	NOUN	O
376	enemies	NOUN	O
377	enemies	NOUN	O
378	enemies	NOUN	O
379	House	NOUN	B-ORG
380	books	NOUN	O
381	books	NOUN	O
382	division	NOUN	O
383	desert	NOUN	O
384	desert	NOUN	O
385	fathers	NOUN	O
386	fathers	NOUN	O
387	fathers	NOUN	O
388	fathers	NOUN	O
389	fathers	NOUN	O
390	place	NOUN	O
391	place	NOUN	O
392	place	NOUN	O
393	displeasure	NOUN	O
394	valley	NOUN	O
395	valley	NOUN	O
396	valley	NOUN	O
397	valley	NOUN	O
398	valley	NOUN	O
399	net	NOUN	O
400	elders	NOUN	O
401	elders	NOUN	O
402	elders	NOUN	O
403	thickness	NOUN	O
404	vineyards	NOUN	O
405	vineyards	NOUN	O
406	vineyards	NOUN	O
407	vineyards	NOUN	O
408	heart	NOUN	O
409	heart	NOUN	O
410	heart	NOUN	O
411	consent	NOUN	O
412	fools	NOUN	O
413	fools	NOUN	O
414	wisdom	NOUN	O
415	wisdom	NOUN	O
416	wisdom	NOUN	O
417	wisdom	NOUN	O
418	wisdom	NOUN	O
419	demons	NOUN	O
420	demons	NOUN	O
421	ashes	NOUN	O
422	Jesse	PROPN	S-PERSON
423	Jesse	PROPN	E-PERSON
424	Jesse	PROPN	S-PERSON
425	Jesse	PROPN	S-PERSON
426	water	NOUN	O
427	water	NOUN	O
428	word	NOUN	O
429	word	NOUN	O
430	word	NOUN	O
431	word	NOUN	O
432	word	NOUN	O
433	book	NOUN	O
434	book	NOUN	O
435	book	NOUN	O
436	part	NOUN	O
437	part	NOUN	O
438	disciples	NOUN	O
439	disciples	NOUN	O
440	disciples	NOUN	O
441	streets	NOUN	O
442	streets	NOUN	O
443	horses	NOUN	O
444	horses	NOUN	O
445	horses	NOUN	O
446	length	NOUN	O
447	length	NOUN	O
448	length	NOUN	O
449	length	NOUN	O
450	person	NOUN	O
451	person	NOUN	O
452	advantage	NOUN	O
453	advantage	NOUN	O
454	heavens	NOUN	O
455	heavens	NOUN	O
456	heavens	NOUN	O
457	heavens	NOUN	O
458	heavens	NOUN	O
459	hoofs	NOUN	O
460	hoofs	NOUN	O
461	looks	NOUN	O
462	salvation	NOUN	O
463	salvation	NOUN	O
464	salvation	NOUN	O
465	salvation	NOUN	O
466	salvation	NOUN	O
467	head	NOUN	O
468	head	NOUN	O
469	head	NOUN	O
470	labor	NOUN	O
471	labor	NOUN	O
472	labor	NOUN	O
473	pieces	NOUN	O
474	pieces	NOUN	O
475	pieces	NOUN	O
476	pieces	NOUN	O
477	pieces	NOUN	O
478	regions	NOUN	O
479	ankle	NOUN	O
480	ankle	NOUN	O
481	appearance	NOUN	O
482	spices	NOUN	O
483	flowers	NOUN	O
484	countries	NOUN	O
485	meal	NOUN	O
486	meal	NOUN	O
487	meal	NOUN	O
488	darkness	NOUN	O
489	darkness	NOUN	O
490	darkness	NOUN	O
491	darkness	NOUN	O
492	darkness	NOUN	O
493	treasure	NOUN	O
494	treasure	NOUN	O
495	father	NOUN	O
496	father	NOUN	O
497	father	NOUN	O
498	father	NOUN	O
499	father	NOUN	O
500	poem	NOUN	O
501	animals	NOUN	O
502	strangers	NOUN	O
503	seasons	NOUN	O
504	moon	NOUN	O
505	moon	NOUN	O
506	King	NOUN	O
507	King	NOUN	I-PERSON
508	youth	NOUN	O
509	youth	NOUN	O
510	youth	NOUN	O
511	seat	NOUN	O
512	seat	NOUN	O
513	matter	NOUN	O
514	neighbor	NOUN	O
515	neighbor	NOUN	O
516	neighbor	NOUN	O
517	neighbor	NOUN	O
518	neighbor	NOUN	O
519	smoke	NOUN	O
520	blood	NOUN	O
521	blood	NOUN	O
522	blood	NOUN	O
523	blood	NOUN	O
524	God	PROPN	O
525	God	PROPN	O
526	God	PROPN	O
527	God	PROPN	O
528	God	PROPN	O
529	ambush	NOUN	O
530	hurries	VERB	O
531	hurries	VERB	O
532	milk	NOUN	O
533	courage	NOUN	O
534	gladness	NOUN	O
535	gladness	NOUN	O
536	gladness	NOUN	O
537	gladness	NOUN	O
538	gladness	NOUN	O
539	Behold	INTJ	O
540	Behold	INTJ	O
541	Behold	INTJ	O
542	Behold	INTJ	O
543	Behold	INTJ	O
544	legs	NOUN	O
545	clay	NOUN	O
546	clay	NOUN	O
547	Peter	PROPN	S-PERSON
548	Peter	PROPN	E-PERSON
549	Peter	PROPN	S-PERSON
550	ladies	NOUN	O
551	lies	NOUN	O
552	lies	NOUN	O
553	eggs	NOUN	O
554	foreigners	NOUN	O
555	Almighty	PROPN	O
556	Almighty	PROPN	O
557	Almighty	PROPN	O
558	Almighty	PROPN	O
559	Almighty	PROPN	O
560	country	NOUN	O
561	nation	NOUN	O
562	nation	NOUN	O
563	nation	NOUN	O
564	nation	NOUN	O
565	nation	NOUN	O
566	stars	NOUN	O
567	stars	NOUN	O
568	wife	NOUN	O
569	wife	NOUN	O
570	wife	NOUN	O
571	wife	NOUN	O
572	wife	NOUN	O
573	example	NOUN	O
574	seaside	NOUN	O
575	Sea	PROPN	E-LOC
576	Sea	PROPN	E-LOC
577	confidence	NOUN	O
578	confidence	NOUN	O
579	home	NOUN	O
580	men	NOUN	O
581	men	NOUN	O
582	men	NOUN	O
583	men	NOUN	O
584	men	NOUN	O
585	eagle	NOUN	O
586	eagle	NOUN	O
587	houses	NOUN	O
588	houses	NOUN	O
589	houses	NOUN	O
590	houses	NOUN	O
591	sail	NOUN	O
592	food	NOUN	O
593	ear	NOUN	O
594	ear	NOUN	O
595	sinner	NOUN	O
596	thief	NOUN	O
597	thief	NOUN	O
598	thief	NOUN	O
599	thief	NOUN	O
600	Asia	PROPN	S-LOC
601	face	NOUN	O
602	face	NOUN	O
603	evening	NOUN	O
604	evening	NOUN	E-TIME
605	evening	NOUN	S-TIME
606	middle	NOUN	O
607	bodies	NOUN	O
608	Jews	PROPN	S-NORP
609	Jews	PROPN	S-NORP
610	Jews	PROPN	S-NORP
611	Jews	PROPN	S-NORP
612	Jews	PROPN	S-NORP
613	bow	NOUN	O
614	bow	NOUN	O
615	bow	VERB	O
616	persons	NOUN	O
617	thousands	NOUN	S-CARDINAL
618	shield	NOUN	O
619	shield	NOUN	O
620	shield	NOUN	O
621	end	NOUN	I-DATE
622	lips	NOUN	O
623	lips	NOUN	O
624	lips	NOUN	O
625	glory	NOUN	O
626	glory	NOUN	O
627	glory	NOUN	O
628	glory	NOUN	O
629	glory	NOUN	O
630	thorns	NOUN	O
631	hope	NOUN	O
632	rock	NOUN	O
633	rock	NOUN	O
634	rock	NOUN	O
635	forts	NOUN	O
636	daughters	NOUN	O
637	daughters	NOUN	O
638	daughters	NOUN	O
639	daughters	NOUN	O
640	daughters	NOUN	O
641	stranger	NOUN	O
642	stranger	NOUN	O
643	stranger	NOUN	O
644	harps	NOUN	O
645	trusts	NOUN	O
646	bedroom	NOUN	O
647	voice	NOUN	O
648	voice	NOUN	O
649	voice	NOUN	O
650	widow	NOUN	O
651	widow	NOUN	O
652	sky	NOUN	O
653	sky	NOUN	O
654	sky	NOUN	O
655	sky	NOUN	O
656	sky	NOUN	O
657	day	NOUN	E-DATE
658	day	NOUN	O
659	day	NOUN	I-DATE
660	day	NOUN	O
661	day	NOUN	E-DATE
662	courses	NOUN	O
663	courses	NOUN	O
664	Egyptians	PROPN	S-NORP
665	Egyptians	PROPN	S-NORP
666	Egyptians	PROPN	S-NORP
667	sins	NOUN	O
668	sins	VERB	O
669	sins	NOUN	O
670	sins	NOUN	O
671	wilderness	NOUN	O
672	wilderness	NOUN	O
673	wilderness	NOUN	O
674	wilderness	NOUN	O
675	wilderness	NOUN	O
676	kindness	NOUN	O
677	kindness	NOUN	O
678	kindness	NOUN	O
679	kindness	NOUN	O
680	kindness	NOUN	O
681	child	NOUN	O
682	child	NOUN	O
683	child	NOUN	O
684	cave	NOUN	O
685	cave	NOUN	O
686	cave	NOUN	O
687	jewel	NOUN	O
688	army	NOUN	O
689	army	NOUN	O
690	Whenever	ADV	O
691	leopard	NOUN	O
692	instructions	NOUN	O
693	Tent	PROPN	S-FAC
694	Tent	PROPN	I-EVENT
695	Tent	PROPN	I-EVENT
696	Tent	NOUN	I-EVENT
697	Tent	NOUN	I-EVENT
698	angels	NOUN	O
699	angels	NOUN	O
700	angels	NOUN	O
701	dances	NOUN	O
702	flame	NOUN	O
703	brass	NOUN	O
704	brass	NOUN	O
705	brass	NOUN	O
706	brass	NOUN	O
707	brass	NOUN	O
708	kinds	NOUN	O
709	feet	NOUN	O
710	feet	NOUN	E-QUANTITY
711	feet	NOUN	O
712	principles	NOUN	O
713	lions	NOUN	O
714	lions	NOUN	O
715	sword	NOUN	O
716	sword	NOUN	O
717	sword	NOUN	O
718	sword	NOUN	O
719	sword	NOUN	O
720	spirits	NOUN	O
721	spirits	NOUN	O
722	spirits	NOUN	O
723	spirits	NOUN	O
724	disaster	NOUN	O
725	disaster	NOUN	O
726	vine	NOUN	O
727	vine	NOUN	O
728	fasting	NOUN	O
729	fasting	NOUN	O
730	overflow	VERB	O
731	seats	NOUN	O
732	seats	NOUN	O
733	friends	NOUN	O
734	grain	NOUN	O
735	grain	NOUN	O
736	grain	NOUN	O
737	grain	NOUN	O
738	grain	NOUN	O
739	Moses	PROPN	S-PERSON
740	Moses	PROPN	S-PERSON
741	Moses	PROPN	S-PERSON
742	Moses	PROPN	S-PERSON
743	Moses	PROPN	S-PERSON
744	weapons	NOUN	O
745	showers	NOUN	O
746	garden	NOUN	O
747	eleven	NUM	B-DATE
748	business	NOUN	O
749	root	NOUN	O
750	dust	NOUN	O
751	dust	NOUN	O
752	dust	NOUN	O
753	grass	NOUN	O
754	grass	NOUN	O
755	disobedience	NOUN	O
756	messengers	NOUN	O
757	messengers	NOUN	O
758	messengers	NOUN	O
759	messengers	NOUN	O
760	region	NOUN	O
761	First	ADV	S-ORDINAL
762	First	ADV	B-PERSON
763	tribes	NOUN	O
764	tribes	NOUN	O
765	tribes	NOUN	O
766	goats	NOUN	O
767	forest	NOUN	O
768	forest	NOUN	O
769	forest	NOUN	O
770	offices	NOUN	O
771	Holy	PROPN	I-PERSON
772	Holy	PROPN	I-PERSON
773	Holy	PROPN	I-PERSON
774	reading	NOUN	O
775	household	NOUN	O
776	plants	VERB	O
777	plants	VERB	O
778	Joshua	PROPN	S-PERSON
779	Joshua	PROPN	S-PERSON
780	Joshua	PROPN	S-PERSON
781	Joshua	PROPN	S-PERSON
782	Joshua	PROPN	S-PERSON
783	strength	NOUN	O
784	strength	NOUN	O
785	Christ	PROPN	E-PERSON
786	Christ	PROPN	E-PERSON
787	Christ	PROPN	O
788	Christ	PROPN	O
789	Christ	PROPN	O
790	spirit	NOUN	O
791	spirit	NOUN	O
792	spirit	NOUN	O
793	spirit	NOUN	O
794	spirit	NOUN	O
795	flour	NOUN	O
796	flour	NOUN	O
797	pleasure	NOUN	O
798	serpent	NOUN	O
799	counsel	NOUN	O
800	counsel	NOUN	O
801	counsel	NOUN	O
802	counsel	NOUN	O
803	means	NOUN	O
804	means	NOUN	O
805	slaughter	NOUN	O
806	slaughter	NOUN	O
807	birds	NOUN	O
808	birds	NOUN	O
809	tree	NOUN	O
810	tree	NOUN	O
811	beans	NOUN	O
812	service	NOUN	O
813	deaths	NOUN	O
814	ones	NOUN	O
815	ones	NOUN	O
816	ship	NOUN	O
817	ship	NOUN	O
818	ship	NOUN	O
819	ship	NOUN	O
820	Lion	PROPN	S-PERSON
821	shepherds	NOUN	O
822	shepherds	NOUN	O
823	shepherds	NOUN	O
824	shepherds	NOUN	O
825	shepherds	NOUN	O
826	Egypt	PROPN	S-GPE
827	Egypt	PROPN	S-GPE
828	Egypt	PROPN	S-GPE
829	hill	NOUN	O
830	hill	NOUN	O
831	hill	NOUN	O
832	pipe	NOUN	O
833	thanksgiving	NOUN	O
834	thanksgiving	NOUN	O
835	thanksgiving	NOUN	O
836	form	NOUN	O
837	Jonathan	PROPN	S-PERSON
838	Jonathan	PROPN	S-PERSON
839	Jonathan	PROPN	S-PERSON
840	Jonathan	PROPN	S-PERSON
841	comfort	NOUN	O
842	goat	NOUN	O
843	goat	NOUN	O
844	cheek	NOUN	O
845	lord	NOUN	O
846	teaching	NOUN	O
847	teaching	VERB	O
848	teaching	NOUN	O
849	custody	NOUN	O
850	custody	NOUN	O
851	deeds	NOUN	O
852	deeds	NOUN	O
853	deeds	NOUN	O
854	chariots	NOUN	O
855	chariots	NOUN	O
856	chariots	NOUN	O
857	chariots	NOUN	O
858	chariots	NOUN	O
859	Worship	NOUN	O
860	speaker	NOUN	O
861	judges	NOUN	O
862	judges	NOUN	O
863	judges	NOUN	O
864	judges	NOUN	O
865	offspring	NOUN	O
866	Jeremiah	PROPN	S-PERSON
867	Jeremiah	PROPN	S-PERSON
868	Jeremiah	PROPN	S-PERSON
869	ant	NOUN	O
870	Nation	NOUN	O
871	gates	NOUN	O
872	gates	NOUN	O
873	mouths	NOUN	O
874	ceilings	NOUN	O
875	hearts	NOUN	O
876	hearts	NOUN	O
877	hearts	NOUN	O
878	hearts	NOUN	O
879	hearts	NOUN	O
880	rulers	NOUN	O
881	rulers	NOUN	O
882	rulers	NOUN	O
883	rulers	NOUN	O
884	rulers	NOUN	O
885	occupation	NOUN	O
886	courts	NOUN	O
887	livestock	NOUN	O
888	worship	VERB	O
889	worship	VERB	O
890	worship	VERB	O
891	worship	NOUN	O
892	desires	VERB	O
893	desires	VERB	O
894	standard	NOUN	O
895	coat	NOUN	O
896	coat	NOUN	O
897	mercy	NOUN	O
898	mercy	NOUN	O
899	mercy	NOUN	O
900	mercy	NOUN	O
901	springs	NOUN	O
902	springs	NOUN	O
903	creatures	NOUN	O
904	wives	NOUN	O
905	wives	NOUN	O
906	wives	NOUN	O
907	wives	NOUN	O
908	judgment	NOUN	O
909	judgment	NOUN	O
910	judgment	NOUN	O
911	judgment	NOUN	O
912	journey	NOUN	O
913	journey	NOUN	O
914	Jesus	PROPN	S-PERSON
915	Jesus	PROPN	S-PERSON
916	Jesus	PROPN	S-PERSON
917	Jesus	PROPN	S-PERSON
918	Jesus	PROPN	S-PERSON
919	handfuls	NOUN	O
920	handfuls	NOUN	O
921	households	NOUN	O
922	praise	NOUN	O
923	praise	NOUN	O
924	praise	NOUN	O
925	flesh	NOUN	O
926	flesh	NOUN	O
927	flesh	NOUN	O
928	flesh	NOUN	O
929	flesh	NOUN	O
930	worm	NOUN	O
931	violence	NOUN	O
932	violence	NOUN	O
933	earrings	NOUN	O
934	favor	NOUN	O
935	breath	NOUN	O
936	breath	NOUN	O
937	supplies	VERB	O
938	offering	NOUN	O
939	offering	VERB	O
940	offering	VERB	O
941	offering	NOUN	O
942	offering	NOUN	O
943	distress	NOUN	O
944	distress	NOUN	O
945	turn	VERB	O
946	arms	NOUN	O
947	camp	NOUN	O
948	law	NOUN	O
949	law	NOUN	O
950	mountains	NOUN	O
951	mountains	NOUN	O
952	mountains	NOUN	O
953	mountains	NOUN	O
954	voices	NOUN	O
955	visions	NOUN	O
956	tomorrow	NOUN	O
957	oven	NOUN	O
958	generation	NOUN	O
959	generation	NOUN	O
960	generation	NOUN	O
961	murderer	NOUN	O
962	murderer	NOUN	O
963	altar	NOUN	O
964	altar	NOUN	O
965	altar	NOUN	O
966	altar	NOUN	O
967	altar	NOUN	O
968	wounds	NOUN	O
969	beams	NOUN	O
970	beams	NOUN	O
971	laughter	NOUN	O
972	threat	NOUN	O
973	kindnesses	NOUN	O
974	kindnesses	NOUN	O
975	kindnesses	NOUN	O
976	crystal	NOUN	O
977	marketplaces	NOUN	O
978	marketplaces	NOUN	O
979	carpenters	NOUN	O
980	palace	NOUN	O
981	defense	NOUN	O
982	thigh	NOUN	O
983	riches	NOUN	O
984	riches	NOUN	O
985	riches	NOUN	O
986	saints	NOUN	O
987	saints	NOUN	O
988	saints	NOUN	O
989	saints	NOUN	O
990	saints	NOUN	O
991	souls	NOUN	O
992	souls	NOUN	O
993	prophets	NOUN	O
994	prophets	NOUN	O
995	prophets	NOUN	O
996	prophets	NOUN	O
997	names	NOUN	O
998	names	NOUN	O
999	teacher	NOUN	O
1000	grace	NOUN	O
1001	grace	NOUN	O
1002	grace	NOUN	O
1003	ways	NOUN	O
1004	ways	NOUN	O
1005	drops	NOUN	O
1006	arrow	NOUN	O
1007	Abraham	PROPN	S-PERSON
1008	Abraham	PROPN	S-PERSON
1009	Abraham	PROPN	S-PERSON
1010	assault	VERB	O
1011	Lebanon	PROPN	S-GPE
1012	Lebanon	PROPN	S-GPE
1013	Lebanon	PROPN	S-GPE
1014	Hebrews	PROPN	O
1015	Hebrews	PROPN	S-NORP
1016	Hebrews	PROPN	S-NORP
1017	Paradise	PROPN	O
1018	herd	NOUN	O
1019	Isaac	PROPN	S-PERSON
1020	Isaac	PROPN	S-PERSON
1021	Isaac	PROPN	S-PERSON
1022	Isaac	PROPN	S-PERSON
1023	Isaac	PROPN	S-PERSON
1024	ignorance	NOUN	O
1025	greatness	NOUN	O
1026	greatness	NOUN	O
1027	seas	NOUN	O
1028	seas	NOUN	O
1029	shame	NOUN	O
1030	tail	NOUN	O
1031	promoters	NOUN	O
1032	lamps	NOUN	O
1033	righteousness	NOUN	O
1034	righteousness	NOUN	O
1035	righteousness	NOUN	O
1036	poison	NOUN	O
1037	Satan	PROPN	S-PERSON
1038	Satan	PROPN	O
1039	Satan	PROPN	S-PERSON
1040	inheritance	NOUN	O
1041	inheritance	NOUN	O
1042	inheritance	NOUN	O
1043	inheritance	NOUN	O
1044	heads	NOUN	O
1045	heads	NOUN	O
1046	heads	NOUN	O
1047	doings	NOUN	O
1048	doings	NOUN	O
1049	news	NOUN	O
1050	wolf	NOUN	O
1051	Children	NOUN	O
1052	mine	PRON	O
1053	border	NOUN	O
1054	border	NOUN	O
1055	border	NOUN	O
1056	border	NOUN	O
1057	border	NOUN	O
1058	stone	NOUN	O
1059	feasts	NOUN	O
1060	feasts	NOUN	O
1061	harshness	NOUN	O
1062	harshness	NOUN	O
1063	tongue	NOUN	O
1064	tongue	NOUN	O
1065	tongue	NOUN	O
1066	tongue	NOUN	O
1067	tongue	NOUN	O
1068	unbeliever	NOUN	O
1069	cattle	NOUN	O
1070	poverty	NOUN	O
1071	devices	NOUN	O
1072	basins	NOUN	O
1073	basins	NOUN	O
1074	basins	NOUN	O
1075	basins	NOUN	O
1076	sanctuary	NOUN	O
1077	sanctuary	NOUN	O
1078	sanctuary	NOUN	O
1079	majesty	NOUN	O
1080	majesty	NOUN	O
